time(s);keff(-);power(W);flux0;flux1(m-2s-1);TFuel_Max;Avg;Min;TCladding_Max;Avg;Min;TCoolant_Max;Avg;Min(K);
128.7684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
128.9684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
129.1684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
129.3684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
129.5684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
129.7684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
129.9684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
130.1684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
130.3684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
130.5684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
130.7684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
130.9684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
131.1684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
131.3684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
131.5684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
131.7684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
131.9684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
132.1684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
132.3684168;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
132.5684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
132.7684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
132.9684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
133.1684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
133.3684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
133.5684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
133.7684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
133.9684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
134.1684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
134.3684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
134.5684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
134.7684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
134.9684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
135.1684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
135.3684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
135.5684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
135.7684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
135.9684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
136.1684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
136.3684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
136.5684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
136.7684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
136.9684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
137.1684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
137.3684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
137.5684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
137.7684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
137.9684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
138.1684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
138.3684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
138.5684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
138.7684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
138.9684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
139.1684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
139.3684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
139.5684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
139.7684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
139.9684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
140.1684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
140.3684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
140.5684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
140.7684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
140.9684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
141.1684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
141.3684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
141.5684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
141.7684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
141.9684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
142.1684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
142.3684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
142.5684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
142.7684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
142.9684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
143.1684167;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
143.3684166;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
143.5684166;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
143.7684166;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
143.9684166;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
144.1684166;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
144.3684166;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
144.5684166;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
144.7684166;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
144.9684166;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
145.1684166;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
145.3684166;1;1e+07;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
