time(s);keff(-);power(W);flux0;flux1(m-2s-1);TFuel_Max;Avg;Min;TCladding_Max;Avg;Min;TCoolant_Max;Avg;Min(K);
28.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
28.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
28.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
28.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
29;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
29.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
29.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
29.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
29.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
30;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
30.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
30.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
30.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
30.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
31;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
31.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
31.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
31.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
31.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
32;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
32.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
32.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
32.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
32.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
33;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
33.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
33.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
33.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
33.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
34;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
34.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
34.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
34.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
34.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
35;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
35.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
35.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
35.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
